DR,EMD,KLD,R,Knn,Replicate
PCA500,0,0,1,1,1
PCA2,0.274,0.227,0.943,0.9693,1
PCA33,0.171,0.027,0.984,0.9797,1
DCA,0.019,0.033,0.938,0.9657,1
t-SNE,0.221,0.14,0.637,0.9578,1
FIt-SNE,0.131,0.106,0.625,0.9797,1
UMAP,0.212,0.298,0.469,0.9496,1
