	Zg16	Muc2	Clca1	Lypd8	Sprr2a2	Igkc	mt-Co2	Plac8	Tff3	Mptx1	mt-Co1	S100a6	Fcgbp	Dmbt1	Actb	Muc3	Saa1	Krt8	mt-Cytb	mt-Atp6	Spink1	Reg4	Igha	mt-Nd1	Txn1	Muc13	Tspan1	mt-Nd4	Krt20	Tpt1	Prdx6	mt-Nd2	mt-Co3	Spink4	B2m	Ly6a	Ceacam1	Jchain	Agr2	Sval1	Ptma	Lgals3	Actg1	Slc25a5	Car4	Ppia	Rps23	Rpl23	Tmsb4x	Eef1a1	H2-Aa	Reg3b	mt-Nd3	Rack1	Rpl27a	Scd2	Ccl6	Rps24	Rps21	Reg3g	Guca2a	Cox8a	Cox7c	Ly6e	Atp1b1	Plet1	1810065E05Rik	Calr	Rplp0	Slc26a3	Dstn	Calm1	Rps14	Rpl41	Rpl10a	Tgm3	Oit1	Aqp8	Hspa5	Itm2b	Lgals4	Aqp4	Hsd11b2	Crip1	Rps3a1	Rpl15	Cox6a1	Rpl30	Mgat4c	Rps20	Rps7	Slpi	Gm10053	Gm29123	Rpl39	Ifit1bl1	Rps27a	Cox5a	Eif2s2	Rps16	Rps3	Tspan8	Rpl18a	Arf1	Car1	Gpa33	Rps9	Tm9sf2	Myl6	Chchd2	Cox4i1	Rpl17	mt-Nd5	Tgoln1	Gapdh	Tmbim6	Rpl31	Rpl7	Gfpt1	Atp5g3	Rpl35a	Rps29	Slc25a3	Slc26a2	Rpl13a	Gzma	Cox6b1	Rps13	Wdr24	Hsp90ab1	Atp5a1	Rpl28	Actn4	H2-Eb1	Gm20594	Rps11	Atp1a1	Srsf1	Retnlb	Uqcrb	Rpl37a	Prdx1	Tmem59	Ezr	Mxd1	Sectm1b	Cd9	Serinc3	Rpl37	Rpl5	Ces2c	Gm8797	Clca3b	Cdh1	Manf	Klf4	Gnas	Rpl12	Smim14	Rps26	Rps25	Maoa	Eef1b2	Rfk	Rpl4	Fos	Cdh17	Hmgb2	Ubc	Clec2h	Fth1	Jun	Rps19	Spint2	Sycn	Serf2	Tmem86a	Gng5	H3f3a	Cldn7	Rpl7a	Dynll1	Pls1	Hk2	Nfatc2	Rps28	Cdkn1a	Hint1	Rps17	Ccnd2	Rpl6	P4hb	Krt19	Sec61b	Cox6c	Cd63	Tubb5	Ldha	Tm9sf3	Adh1	Rpl10	Hspa8	H3f3b	Upp1	Tagln2	Pigr	Gm11808	Tmed2	2200002D01Rik	Gm17541	Rps18	Cs	Rep15	Pabpc1	Id1	Rps8	Pdia6	Hmgb1	Ccl5	Fabp6	Mgst3	Atp5g1	Ybx1	Vdac2	Xist	Klk1	Rplp1	Prr13	Slc10a7	Myl12b	Rpn1	Rps4x	Slc44a4	S100a10	Txndc5	Rps6	Atp5l	Snrpf	Clca4b	Cystm1	Tpd52	Pfn1	Rpl14	Hdgf	Calm2	Cd74	Tm4sf20	Rps15a	Ceacam10	Cdhr5	H2-Ab1	Hsp90b1	Gm9844	Rpl13	Cmpk1	Aldh2	Ctnnd1	Prss32	Clic1	Rpl19	Aco2	Tmed10	Set	Serp1	Ggh	Slc12a2	Bcas1	Cd177	Ckmt1	Iqgap2	Actr3	Ahnak	Fut2	Rnf31	Ywhaz	Tmprss2	Duox2	Ms4a8a	Spcs2	Gsdmc4	Rrbp1	Chp1	Rpl22	Pcbp2	Rpsa	Btf3	Cd164	Anxa2	Cox7a2	Cox5b	Dmxl1	Car2	Sri	Mdh1	Pdlim1	Atp5c1	Wbp5	Ctsb	Hmgcs1	Cd24a	Sec61g	Ptp4a1	Dbi	Eef1g	Cox7b	Fxyd3	Gprc5a	Slc13a2	Uqcr10	Uqcrq	Slc6a8	Atp5b	Ywhab	Myh14	Mboat1	Emp1	Serpinb1a	Galnt7	Lars2	S100a11	Rac1	Gmds	Nov	Tuba1b	Dsg2	Serpinb6a	Arf4	Ucp2	Rbm47	Rps5	St6galnac6	Gpx2	Gcnt3	S100a16	Cd38	Gnb1	Ndufa4	Atp5j	2210407C18Rik	Atp5g2	Rpl36a	Ndufb8	Ctnnb1	Arpc2	Ywhae	Lrrc58	Sppl2a	Uqcrh	Tapbp	Apol10a	Sec61a1	Glul	Rpl26	Pkn2	Smpdl3a	Atp5f1	Qsox1	Mcl1	Golm1	Rnf128	Pmp22	Creb3l1	Gsn	Sqrdl	Tkt	Ostc	Sypl	Rps10	Hepacam2	Parm1	Lama4	Hnrnpab	Id3	Eif4g2	Rpl8	Hnrnpf	Capzb	Ces2e	Pcbp1	Eif1	Krt18	Klf6	Zfp644	Rpl38	Rab1a	Atp5j2	Slc5a8	Ybx3	B3gnt7	2010107E04Rik	Mrfap1	Npm1	Hoxb13	St3gal4	Tram1	Shisa5	Prdx5	Suclg1	Lasp1	Gda	Arl1	Cldn3	Ethe1	Slc6a14	Uba1	Oaz1	Ywhaq	Npc2	Ndufa2	Aes	Tax1bp1	Dlk1	Eef2	Pdia3	Lurap1l	Nans	Ndufa6	Atp6ap2	Ddost	Serbp1	Cib1	Cdc42	Arf6	Cpd	S100a14	Hnrnpa2b1	Eif5a	Zfp36	Rab2a	Hsp90aa1	Stard10	Elf3	Gna11	Hnrnpa3	Atp12a	Clcn2	Deptor	Usmg5	Ido1	Ctss	Gm4262	Arpc3	Slc35c1	Uqcrc2	Gabarap	Msmo1	Slc4a7	Rpl34	Cyp4f14	Rpl32	Psap	Chmp4b	Gsto1	Slc39a4	Ahcyl2	Rhoc	Txnip	Naca	Rplp2	Eif3c	Suclg2	Hnf4a	Aph1a	Ddx5	Tmem45b	Sult1b1	Clic5	Tomm7	Cycs	Ptms	Mgat4b	Cttn	Atp5k	Atp5o	Higd2a	Arpc1b	Arpc5	Misp	Nudt4	Rpl21	Fuca1	Scin	Rpl3	Lima1	Lamp1	Pla2g10	Capns1	Pkm	Efhd2	Ildr1	Psma3	Gm1123	Il13ra1	Rps12-ps3	C1galt1	Higd1a	Galnt12	Hist1h2bc	Csnk1a1	Ubl5
43	709	314	146	81	28	0	72	27	103	2	69	57	33	67	29	13	15	56	34	42	72	0	0	69	73	42	28	27	14	55	7	28	27	58	53	7	29	0	42	65	6	12	25	25	0	16	33	19	29	10	14	0	37	26	13	17	53	7	22	0	3	28	24	43	27	5	2	25	12	4	14	9	14	18	8	4	34	0	15	23	26	1	26	9	11	19	12	7	5	13	12	1	3	4	13	4	12	9	12	6	13	13	16	21	1	13	11	27	13	18	9	10	9	31	8	9	14	9	13	13	4	16	23	5	9	0	14	8	8	5	8	16	6	12	7	12	5	8	6	11	6	10	26	6	5	4	12	15	10	8	2	12	7	13	9	10	13	10	21	5	11	3	7	8	4	8	6	0	27	5	5	4	7	7	5	5	2	20	8	5	10	10	3	6	3	8	10	5	4	0	12	6	6	7	11	11	0	14	6	10	9	4	3	1	11	17	5	7	0	7	2	7	13	5	13	6	4	0	0	0	2	8	3	7	8	20	3	2	7	2	9	2	12	4	2	5	6	0	4	4	8	2	6	2	4	6	1	6	18	6	9	6	10	7	8	8	9	11	7	1	12	14	4	12	1	7	6	7	8	5	7	10	6	1	7	8	7	4	2	2	2	2	5	4	1	12	16	6	7	4	4	3	7	3	13	3	1	7	3	7	9	7	2	4	5	13	0	2	9	5	5	3	1	2	6	0	2	10	1	3	9	6	2	0	6	4	5	5	7	5	2	0	7	6	8	1	2	8	0	1	7	2	3	5	5	6	3	9	7	3	8	3	2	1	1	4	4	7	9	6	1	4	12	6	2	4	6	3	10	9	2	2	10	6	4	2	2	2	13	8	9	2	10	5	5	2	2	5	3	6	4	1	7	0	6	6	3	11	5	2	3	10	1	3	5	7	4	10	4	3	2	0	3	2	4	2	8	4	7	3	7	6	3	14	4	4	4	2	4	0	5	2	3	4	2	0	1	3	0	0	1	3	1	0	8	2	9	3	1	3	4	9	3	5	1	1	8	4	5	3	8	4	1	3	3	0	1	4	3	0	3	7	10	4	1	1	4	3	1	0	5	4	2	0	4	5	1	6	3	3	1	3	15	3	10	0	10	1	3	2
44	7	451	0	13	1	1	68	8	3	1	40	86	0	1	40	0	1	18	54	33	0	67	0	31	41	47	30	33	0	39	1	47	27	24	20	2	38	0	61	4	23	0	31	19	0	13	16	14	23	23	2	0	15	11	24	31	71	15	19	5	7	19	8	18	19	1	1	44	24	0	18	16	6	42	10	0	32	0	21	7	7	0	4	10	16	13	8	16	0	9	7	0	10	1	16	0	19	5	5	16	6	24	8	17	1	10	8	11	22	13	10	12	8	22	18	10	12	4	21	19	7	19	5	4	6	0	14	11	10	16	11	11	7	0	4	11	7	12	0	7	14	11	3	7	0	0	9	22	9	8	0	8	3	7	20	1	14	7	20	9	12	5	5	3	12	1	3	1	7	0	6	0	8	21	1	14	0	10	12	7	3	13	2	10	4	8	0	1	5	13	6	18	2	23	1	10	1	9	12	4	2	10	10	0	14	3	9	16	4	3	7	4	9	4	1	7	10	4	0	0	1	8	12	9	10	1	5	5	8	6	18	2	5	5	12	5	2	5	1	5	18	4	3	9	3	0	1	7	5	1	1	9	4	10	14	1	6	7	6	8	13	17	5	14	0	6	1	16	0	3	8	2	6	1	15	11	2	5	15	0	29	1	7	5	5	7	13	7	4	1	7	1	6	5	6	10	12	2	8	17	14	2	5	5	5	11	0	1	5	8	1	4	9	3	2	0	1	2	0	27	9	8	0	0	2	12	15	6	5	5	7	6	1	14	5	4	6	6	1	6	7	1	6	6	9	0	3	6	4	0	20	3	10	3	0	2	10	6	6	9	3	9	5	3	4	9	11	4	11	5	0	6	0	6	4	9	6	0	8	4	1	0	0	8	7	5	0	6	1	4	8	7	5	1	11	3	2	2	7	0	5	3	3	0	12	10	18	6	10	7	7	29	5	10	1	14	4	4	4	7	8	5	7	10	3	4	8	0	11	8	9	2	2	6	0	0	1	2	0	0	2	4	9	3	11	9	6	1	0	5	0	5	3	5	0	2	2	3	0	3	3	1	4	2	1	0	0	5	2	1	7	3	1	2	6	7	6	1	2	1	0	3	2	5	4	1	7	1	7	1	3	2	2	5	13	0	14	0	6	4
45	1	94	2	20	0	0	56	9	14	78	76	36	1	0	46	1	0	23	38	32	2	19	0	48	42	9	20	33	1	59	0	38	35	39	33	10	15	0	26	0	50	1	37	35	0	34	22	31	7	36	7	0	15	26	40	11	15	43	26	2	14	16	11	36	14	4	0	12	15	0	11	14	25	30	26	0	32	0	9	11	8	0	11	5	19	33	13	26	0	18	20	0	7	6	29	0	19	10	4	24	17	30	17	14	2	4	16	13	17	4	11	13	14	1	9	16	11	21	14	19	17	28	13	0	18	0	10	11	13	14	7	14	2	1	4	26	7	5	1	10	16	20	3	4	1	0	6	19	10	10	0	22	6	13	12	0	15	8	9	15	4	1	17	1	18	43	5	31	11	7	3	24	13	3	0	9	0	5	19	6	14	6	1	3	7	11	1	8	17	10	13	6	2	8	5	5	40	4	7	9	15	7	13	0	11	9	7	14	0	11	9	4	3	11	9	15	3	12	0	0	3	12	20	6	7	4	4	5	12	1	3	7	0	2	10	12	8	6	0	1	12	10	6	4	11	5	0	11	4	0	1	9	6	12	6	2	7	3	7	10	2	7	4	6	1	5	0	6	2	1	5	2	5	11	3	2	1	2	1	0	3	1	8	5	17	3	10	5	4	4	7	3	3	5	9	7	15	0	4	6	4	3	8	8	4	8	0	0	6	6	0	11	11	0	1	0	1	8	0	4	9	8	0	18	3	8	5	8	6	10	4	11	1	2	3	1	4	1	1	8	12	2	3	6	6	1	4	2	2	0	5	2	7	3	0	6	9	1	7	2	0	4	0	2	7	10	8	4	9	3	0	4	0	1	8	10	1	0	7	15	4	3	1	8	8	4	0	10	2	7	3	2	4	1	9	0	4	5	3	0	0	3	0	0	4	6	9	10	1	0	4	0	6	6	2	4	2	4	3	7	7	3	3	6	0	4	2	1	5	1	8	5	3	5	0	0	4	6	0	1	0	5	8	4	2	3	5	10	0	10	0	2	0	2	1	1	2	5	8	5	2	1	1	10	0	0	1	1	4	3	2	3	1	8	4	2	2	0	0	1	1	4	5	7	5	0	1	0	3	1	4	6	1	4	4	0	6	1	6	5
46	5	1	2	302	268	0	128	163	1	0	126	153	1	48	82	81	54	90	66	76	0	0	0	51	111	71	85	48	80	54	66	28	59	1	80	53	32	0	1	1	1	46	56	66	37	20	7	10	18	9	29	0	23	5	3	5	3	17	7	0	59	33	50	7	32	22	41	7	19	20	27	32	8	12	4	37	14	0	9	34	27	9	1	7	2	5	34	2	26	3	2	0	27	33	9	17	1	22	17	2	3	16	15	6	21	27	4	18	31	14	21	10	9	20	31	17	2	4	14	15	0	12	16	4	1	0	29	5	2	0	15	3	20	12	0	7	12	10	0	19	7	5	7	18	28	15	4	4	1	1	12	11	2	22	0	16	14	2	3	2	1	10	7	20	0	21	17	1	11	10	13	15	2	11	0	16	0	18	10	12	7	8	17	9	1	6	29	21	2	0	3	2	16	3	14	15	0	8	1	1	3	2	14	24	17	10	7	4	13	5	2	19	0	8	9	0	0	1	0	0	12	7	4	11	1	0	6	14	14	14	0	2	20	13	0	2	9	1	8	14	3	7	0	0	17	10	6	4	3	12	14	1	5	0	6	15	13	10	13	2	8	5	0	0	11	0	0	1	21	14	10	6	4	0	10	7	3	18	0	8	9	11	4	6	1	3	2	8	14	14	1	8	8	4	9	6	0	9	5	0	3	5	6	2	13	1	14	9	10	7	8	12	7	10	18	1	11	3	1	2	9	4	0	0	8	8	2	5	3	2	4	0	0	8	10	10	1	7	13	6	2	13	3	5	2	4	5	8	6	9	0	4	1	1	4	9	0	10	3	8	17	0	1	8	1	0	1	2	0	13	0	2	13	5	1	2	8	2	2	4	9	12	1	3	5	7	1	1	4	5	1	0	4	6	0	0	8	1	7	4	7	7	8	12	7	4	2	3	2	4	0	2	1	1	5	2	4	0	0	1	7	7	5	0	2	1	1	11	6	0	2	2	6	3	1	9	4	9	1	4	0	8	1	7	3	13	1	2	4	3	4	10	6	3	5	9	8	1	1	0	1	13	9	6	9	3	3	4	9	0	6	7	7	4	10	4	0	12	12	0	6	0	0	6	7	1	0	7	7	3	0	0	3	0	3	8	3	6	2	8
47	7	4	1	294	348	0	373	89	1	1	320	105	0	46	296	148	125	114	155	225	0	0	0	132	87	109	103	109	74	17	89	58	151	0	51	25	29	0	0	1	2	59	85	44	66	1	5	3	36	4	58	0	34	1	3	1	0	3	1	0	35	34	23	3	32	17	42	4	6	38	46	38	5	9	0	4	7	83	1	26	34	1	0	42	2	2	24	1	16	2	2	0	29	11	1	13	0	3	9	3	0	15	4	11	58	16	3	16	29	29	19	1	19	13	24	11	4	6	7	11	0	1	16	61	0	0	20	2	2	1	13	3	43	19	15	5	17	9	0	8	0	3	8	18	13	24	3	3	2	0	26	7	0	12	0	21	13	0	2	3	1	10	0	24	0	4	9	0	6	14	25	4	1	16	1	9	0	9	8	16	0	11	22	46	0	1	8	5	0	0	1	3	12	2	14	5	1	20	3	1	3	4	8	3	7	6	9	2	30	0	1	16	0	4	3	2	0	1	0	0	4	4	5	6	12	0	1	17	14	6	0	0	10	12	1	1	6	1	0	16	2	8	0	2	5	14	4	3	0	21	27	2	1	0	7	7	11	8	12	4	6	3	1	2	13	0	0	1	12	13	12	7	2	0	6	0	13	7	2	0	14	18	0	2	1	6	1	8	8	3	2	2	6	2	11	7	3	3	4	0	0	14	3	2	9	1	16	4	8	4	11	7	2	11	8	17	3	0	2	2	7	2	0	1	21	8	0	2	8	0	9	0	1	1	4	13	0	5	2	2	0	10	10	6	5	22	7	8	5	1	1	3	1	0	7	6	0	13	6	3	12	0	2	6	3	0	0	0	1	5	0	1	0	7	1	0	6	6	1	10	7	4	1	0	5	9	8	1	1	8	8	0	5	8	1	9	10	3	15	6	6	5	12	6	6	2	0	2	1	9	7	0	5	0	14	1	2	0	1	3	7	4	6	0	2	2	3	1	2	0	2	14	6	1	1	8	0	0	0	11	1	2	1	4	7	9	3	1	16	1	1	7	3	9	9	17	6	0	0	0	1	9	5	3	6	5	8	2	6	1	0	5	4	5	3	13	8	12	8	0	7	0	0	3	5	0	3	13	9	3	0	0	2	2	1	13	3	10	7	5
48	615	348	161	102	37	0	110	34	87	0	60	77	117	39	48	13	29	66	64	56	48	0	0	44	59	19	29	51	7	22	4	45	24	18	30	20	64	0	21	17	1	19	10	16	1	15	3	10	14	12	8	0	26	0	7	4	5	7	12	0	17	20	26	14	33	13	14	28	7	3	10	19	7	19	5	1	8	1	13	14	25	14	12	12	1	0	15	3	5	3	3	10	10	26	3	0	9	11	7	7	3	16	3	8	5	12	2	15	16	9	9	5	20	11	8	7	6	2	10	19	7	8	4	11	1	0	16	3	3	2	11	3	3	3	7	3	21	1	2	16	4	3	24	10	7	4	11	4	3	1	4	6	3	9	7	11	8	2	7	2	5	0	6	6	4	2	16	0	5	1	11	0	1	8	1	7	3	13	6	4	4	14	4	2	2	7	6	14	4	0	2	11	13	6	8	10	1	5	8	2	3	2	5	2	6	8	10	5	4	2	1	2	7	4	4	1	5	1	0	0	8	9	4	4	13	2	2	4	7	5	3	2	7	7	1	1	12	1	0	2	8	11	1	4	8	9	1	3	5	2	2	7	10	2	4	9	3	9	1	1	5	8	0	4	1	0	5	6	6	3	11	5	0	0	7	5	5	6	7	4	3	5	0	1	2	4	5	5	5	6	3	0	9	8	3	1	2	6	3	1	4	2	5	0	2	4	3	3	5	8	3	4	3	2	3	0	6	9	1	14	6	6	0	0	2	4	5	4	6	1	3	0	6	9	3	4	2	7	0	1	2	7	1	7	2	5	2	3	7	3	4	4	0	0	3	3	3	3	3	3	1	2	5	3	4	5	4	1	5	4	3	1	1	3	1	1	8	1	0	3	2	7	6	2	5	6	3	5	1	9	0	0	4	2	5	5	6	5	8	1	2	4	8	2	15	2	2	2	4	3	2	1	1	0	5	0	3	1	2	1	6	2	4	1	9	2	1	1	3	2	4	1	2	1	0	1	3	7	1	0	5	6	4	6	3	7	3	3	4	0	4	5	3	1	3	2	3	1	1	0	2	4	4	1	3	0	0	2	2	0	5	1	2	2	4	1	2	1	0	2	3	7	1	8	4	1	2	4	1	1	1	0	5	0	1	1	0	4	2	2
49	9	6	2	566	215	0	135	176	1	0	127	86	0	68	165	132	280	82	70	72	3	0	0	57	77	117	117	47	68	25	80	23	71	0	124	67	109	0	1	0	6	104	73	76	26	5	5	4	23	4	31	0	16	2	0	1	0	4	2	0	73	38	34	3	32	27	54	9	3	29	34	39	4	4	0	19	5	71	7	55	39	1	1	47	5	3	34	3	23	2	0	0	33	3	7	18	1	23	25	1	1	24	5	13	5	30	1	15	20	20	28	0	11	18	25	27	4	7	11	17	0	2	22	21	0	0	24	1	0	1	17	2	22	24	3	7	33	18	0	21	0	0	10	14	22	25	10	5	1	0	36	14	0	12	0	26	13	0	2	1	2	20	2	22	0	10	20	1	10	11	13	5	1	16	3	11	3	10	11	16	4	8	19	23	0	0	13	11	0	0	2	3	8	2	16	15	0	27	4	1	1	2	6	35	10	5	4	2	24	4	1	22	0	0	5	2	0	1	0	0	14	5	8	3	2	0	2	14	12	9	2	1	21	11	0	0	10	0	0	17	3	2	0	5	7	10	11	0	3	27	9	2	14	0	6	4	10	19	7	2	9	9	0	2	14	0	0	0	5	9	15	8	2	0	7	5	8	16	1	0	9	22	1	9	0	7	7	2	12	6	1	2	6	6	7	12	1	7	7	0	2	13	8	2	11	0	17	14	8	9	10	7	3	14	3	16	5	1	5	1	6	1	0	0	24	8	3	4	7	0	9	0	0	0	10	5	0	9	3	2	0	9	8	10	7	9	7	3	13	7	2	6	0	1	10	6	0	15	8	3	10	1	0	16	1	1	4	2	0	5	0	3	1	9	0	3	7	8	1	7	2	2	0	0	3	8	4	3	2	8	7	0	5	4	0	11	15	2	11	10	14	7	13	3	3	2	2	3	7	7	4	0	1	0	12	1	6	1	2	2	4	5	12	1	1	3	2	1	1	4	2	9	12	0	5	7	0	4	0	11	2	8	3	11	6	6	1	0	6	0	5	5	3	16	4	12	11	2	0	1	1	3	7	6	10	4	15	5	8	1	3	7	6	3	4	7	4	8	17	1	10	1	0	8	10	2	5	4	9	2	2	0	1	0	3	9	1	6	5	3
50	1242	458	519	43	21	0	38	12	79	0	36	111	125	4	17	0	15	49	25	26	54	0	0	29	80	48	45	14	7	18	4	17	20	15	32	0	53	0	15	20	1	36	6	9	0	4	9	11	25	6	9	0	23	6	8	5	9	2	9	0	2	10	14	12	12	5	2	31	4	1	25	10	2	10	0	1	4	2	11	10	15	0	26	17	3	7	5	3	2	12	6	0	3	0	10	0	6	3	12	6	2	8	4	14	0	11	3	23	12	4	5	2	13	13	2	17	3	2	6	13	5	11	6	11	3	0	12	1	2	2	4	6	8	1	6	5	8	12	2	5	4	0	15	15	9	0	10	3	3	2	1	2	0	7	4	14	9	0	0	5	8	0	3	6	0	2	6	0	6	1	6	0	2	8	6	6	3	5	2	3	2	10	4	2	1	3	18	4	3	0	2	10	6	8	7	19	0	2	8	0	7	1	6	0	20	3	5	4	4	2	0	3	9	3	11	2	4	0	0	0	11	6	3	6	2	9	2	3	6	2	5	2	7	8	0	0	6	0	1	1	10	1	1	5	4	3	1	1	4	8	3	6	3	5	13	3	10	10	3	1	4	4	2	2	0	0	8	7	2	7	7	4	0	0	9	5	0	6	8	0	2	3	1	1	2	2	8	4	4	2	0	0	5	6	2	5	2	2	15	0	4	1	5	1	0	10	2	1	3	4	0	5	10	1	7	0	2	10	3	1	4	3	3	0	4	4	1	8	1	2	4	0	15	2	1	1	1	3	2	2	2	4	1	7	0	1	2	6	5	0	3	0	1	0	2	4	8	4	6	1	0	0	4	4	1	3	5	1	11	12	7	0	5	2	0	1	4	0	1	3	3	2	14	2	5	3	0	0	1	3	1	0	1	3	2	6	3	1	2	0	0	4	2	1	2	6	0	3	5	4	2	0	1	5	0	1	0	2	1	0	6	4	2	7	6	1	0	0	7	0	6	1	1	2	0	0	0	1	0	1	1	0	2	1	6	7	3	0	0	0	1	0	0	3	1	2	1	1	1	0	1	3	3	0	1	1	1	2	3	1	2	0	4	5	1	2	2	3	2	2	4	10	1	5	4	4	2	3	3	3	0	6	3	2	4	0	4	2	3	3
51	4	5	2	218	108	1	79	93	0	0	71	86	1	139	74	107	84	69	49	58	0	0	0	51	60	84	64	42	20	64	30	40	41	0	67	44	43	0	0	0	22	22	33	30	23	27	29	17	22	17	52	12	18	24	25	22	0	33	29	20	19	29	32	22	41	17	15	18	20	13	23	26	26	20	15	30	10	5	16	21	11	9	1	7	15	16	14	21	13	32	23	1	15	26	27	12	15	9	10	14	13	11	14	13	1	22	14	10	16	18	17	8	9	16	14	28	18	8	14	7	18	14	18	21	9	0	11	11	22	8	13	15	15	30	6	11	17	14	0	21	10	12	9	12	11	16	12	6	16	11	7	12	17	21	2	9	14	3	1	19	9	5	12	10	7	9	10	11	16	6	15	4	2	26	0	10	5	15	14	8	11	11	12	6	15	11	3	11	8	2	12	2	11	3	18	7	7	14	7	16	6	9	12	15	5	9	12	8	8	8	9	7	0	7	5	6	5	7	0	0	7	5	4	7	12	0	5	17	15	9	1	8	7	8	1	4	6	4	3	7	0	10	15	11	10	12	6	12	1	7	9	8	5	9	3	7	24	11	15	3	11	9	7	1	10	4	0	3	13	9	6	14	5	11	6	6	6	10	7	9	4	10	4	10	1	13	5	3	6	13	5	3	8	4	3	10	4	12	5	0	6	1	11	7	3	0	6	8	2	8	9	7	11	15	10	2	6	2	1	3	7	7	0	0	7	7	4	6	6	6	6	3	0	9	8	5	2	11	5	8	4	7	3	14	5	5	8	5	8	3	4	3	3	0	5	4	0	10	7	10	3	2	4	6	2	2	0	3	0	10	0	3	0	4	3	3	6	5	7	1	0	7	1	4	7	6	2	1	5	5	4	1	1	12	3	5	5	4	3	7	7	7	4	3	3	2	2	9	6	4	3	1	3	1	0	6	2	1	3	3	7	3	5	5	9	1	0	0	7	5	4	4	5	4	3	7	8	6	0	4	3	3	3	5	6	2	3	4	2	3	5	2	8	8	1	3	8	9	3	4	8	9	6	4	5	4	8	4	9	2	5	2	7	2	9	4	10	7	4	5	5	1	3	4	6	2	2	4	9	12	2	1	2	2	1	5	0	6	4	1
52	573	176	98	169	112	0	141	77	87	13	99	71	102	88	77	36	41	76	94	75	53	0	0	75	74	59	47	53	40	50	16	47	44	11	57	37	45	0	33	9	0	25	44	34	16	6	21	8	29	9	26	0	35	13	3	15	14	5	8	0	1	37	24	35	24	3	1	15	12	21	16	24	3	16	7	25	4	3	28	25	30	2	27	13	6	6	17	11	10	4	6	7	18	19	11	6	4	14	11	15	2	15	6	25	1	20	5	27	23	20	18	3	17	21	13	19	9	5	12	15	3	11	13	11	3	0	17	5	2	0	15	3	5	8	7	3	5	8	1	10	5	11	17	15	6	11	22	8	6	3	4	7	3	16	13	5	16	4	11	3	3	11	0	8	4	2	11	0	17	3	16	0	3	16	10	11	4	13	9	5	3	16	4	7	2	5	19	11	1	0	3	7	8	15	10	15	0	21	6	3	7	5	9	1	6	9	8	9	9	6	2	12	5	2	8	4	9	0	0	48	8	8	3	7	5	4	2	10	13	7	11	2	9	13	6	1	7	7	6	6	6	8	2	1	7	7	2	3	5	8	6	8	5	0	7	9	13	6	4	1	10	9	1	10	7	1	12	3	13	9	5	3	9	2	10	13	1	6	11	6	9	7	5	2	3	6	6	3	5	5	0	6	2	3	12	7	2	4	8	1	7	5	8	1	9	4	4	0	8	9	15	8	11	3	3	0	7	7	0	2	7	5	0	1	6	11	9	7	17	4	8	0	5	11	5	8	7	3	1	9	2	10	2	6	4	9	6	9	11	6	5	8	2	2	5	4	4	4	10	8	2	2	9	3	3	7	5	1	3	5	4	1	6	1	0	4	3	4	7	6	4	6	3	6	3	6	0	5	4	9	0	1	1	3	7	5	2	4	11	4	8	3	4	5	8	4	5	9	0	1	2	0	3	6	4	2	10	3	4	7	4	5	7	7	7	0	4	5	9	0	3	5	4	4	2	2	3	9	0	1	1	6	6	3	7	7	3	0	3	3	4	9	2	3	4	4	7	4	3	2	4	3	3	0	8	2	3	5	3	0	1	6	9	1	2	2	4	7	2	1	3	7	4	4	4	5	5	5	3	4	3	3	5	2	2	2	4	0	6	3
