	Zg16	Muc2	Clca1	Lypd8	Sprr2a2	mt-Co2	Igkc	Plac8	Tff3	mt-Co1	S100a6	Mptx1	Fcgbp	Hbb-bs	Actb	Dmbt1	Muc3	Saa1	mt-Cytb	mt-Atp6	Krt8	Spink1	Reg4	mt-Nd1	Igha	Txn1	Muc13	mt-Nd4	Tspan1	mt-Nd2	mt-Co3	Tpt1	Krt20	Prdx6	Spink4	B2m	Ly6a	Ceacam1	Jchain	Agr2	Sval1	Hbb-bt	Ptma	Lgals3	Actg1	Hba-a2	Slc25a5	Car4	Ppia	Rps23	mt-Nd3	Tmsb4x	Rpl23	Eef1a1	H2-Aa	Reg3b	Rack1	Rpl27a	Scd2	Rps24	Ccl6	Rps21	Reg3g	Cox8a	Guca2a	Cox7c	Ly6e	Atp1b1	Plet1	Calr	1810065E05Rik	Rplp0	Dstn	Slc26a3	Calm1	Rpl41	Rps14	Rpl10a	Oit1	Itm2b	Tgm3	Hspa5	Lgals4	Aqp8	Hsd11b2	Aqp4	Crip1	Rps3a1	Rpl15	Cox6a1	Rpl30	Rps20	Rps7	Mgat4c	Rpl39	Gm10053	Gm29123	Slpi	Ifit1bl1	Rps27a	Cox5a	mt-Nd5	Eif2s2	Rps16	Tspan8	Rps3	Arf1	Rpl18a	Tm9sf2	Gpa33	Myl6	Chchd2	Rps9	Car1	Cox4i1	Rpl17	Tgoln1	Tmbim6	Gapdh	Rpl31	Gfpt1	Rpl7	Atp5g3	Rpl35a	Rps29	Slc25a3	Cox6b1	Slc26a2	Rpl13a	Atp5a1	Rps13	Wdr24	Hsp90ab1	Gzma	Rpl28	Actn4	H2-Eb1	Rps11	Gm20594	Atp1a1	Srsf1	Uqcrb	Tmem59	Rpl37a	Retnlb	Prdx1	Ezr	Mxd1	Cd9	Sectm1b	Serinc3	Rpl37	Gm8797	Rpl5	Ces2c	Cdh1	Clca3b	Gnas	Manf	Klf4	Smim14	Rps26	Rpl12	Rps25	Eef1b2	Maoa	Rfk	Rpl4	Ubc	Cdh17	Fos	Fth1	Spint2	Clec2h	Hmgb2	Rps19	Jun	Serf2	Gng5	Sycn	H3f3a	Cldn7	Rpl7a	Dynll1	Tmem86a	Pls1	Hk2	Hint1	Rps28	Nfatc2	Rps17	Cdkn1a	P4hb	Cd63	Rpl6	Sec61b	Ccnd2	Cox6c	Ldha	Tm9sf3	Krt19	Rpl10	Tubb5	Adh1	Hspa8	H3f3b	Tagln2	Gm11808	Pigr	Tmed2	Upp1	2200002D01Rik	Gm17541	Rps18	Pabpc1	Cs	Rep15	Id1	Rps8	Pdia6	Ybx1	Atp5g1	Mgst3	Xist	Vdac2	Hmgb1	Fabp6	Rplp1	Slc10a7	Myl12b	Rpn1	Prr13	Klk1	Rps4x	Slc44a4	S100a10	Atp5l	Rps6	Tpd52	Txndc5	Cystm1	Ccl5	Pfn1	Snrpf	Calm2	Rpl14	Clca4b	Hdgf	Cd74	Rps15a	Ceacam10	H2-Ab1	Tm4sf20	Hsp90b1	Cdhr5	Gm9844	Cmpk1	Rpl13	Aldh2	Ctnnd1	Prss32	Clic1	Tmed10	Rpl19	Aco2	Serp1	Set	Actr3	Cd177	Ggh	Bcas1	Slc12a2	Ywhaz	Ckmt1	Iqgap2	Fut2	Ahnak	Rnf31	Tmprss2	Ms4a8a	Spcs2	Duox2	Rrbp1	Cd164	Pcbp2	Rpl22	Gsdmc4	Cox7a2	Anxa2	Btf3	Chp1	Rpsa	Cox5b	Dmxl1	Car2	Sri	Mdh1	Pdlim1	Atp5c1	Ctsb	Wbp5	Sec61g	Hmgcs1	Dbi	Ptp4a1	Cd24a	Eef1g	Cox7b	Uqcr10	Fxyd3	Uqcrq	Atp5b	Gprc5a	Slc13a2	Ywhab	Slc6a8	Myh14	Mboat1	Lars2	Serpinb1a	Rac1	Galnt7	Gmds	S100a11	Emp1	Dsg2	Rbm47	Serpinb6a	Ucp2	Arf4	Tuba1b	Nov	Rps5	St6galnac6	Gpx2	S100a16	Gcnt3	Cd38	Atp5j	Gnb1	Ndufa4	Atp5g2	2210407C18Rik	Arpc2	Rpl36a	Ndufb8	Ctnnb1	Ywhae	Lrrc58	Sppl2a	Uqcrh	Tapbp	Sec61a1	Glul	Apol10a	Rpl26	Rnf128	Atp5f1	Smpdl3a	Golm1	Qsox1	Mcl1	Pkn2	Pmp22	Creb3l1	Gsn	Tkt	Sqrdl	Parm1	Ostc	Sypl	Rps10	Hepacam2	Capzb	Eif4g2	Hnrnpab	Lama4	Eif1	Hnrnpf	Id3	Rpl8	Pcbp1	Ces2e	Rab1a	Rpl38	Krt18	Klf6	Atp5j2	2010107E04Rik	Zfp644	Ybx3	Mrfap1	B3gnt7	Slc5a8	Hoxb13	Shisa5	Tram1	Npm1	Cldn3	Arl1	Suclg1	St3gal4	Lasp1	Prdx5	Uba1	Pold4	Npc2	Gda	Oaz1	Ethe1	Ndufa2	Ywhaq	Slc6a14	Aes	Tax1bp1	Eef2	Pdia3	Cib1	Lurap1l	Ddost	Ndufa6	Cdc42	Nans	Cpd	Dlk1	Atp6ap2	Arf6	Rab2a	Serbp1	S100a14	Usmg5	Elf3	Hnrnpa2b1	Eif5a	Gna11	Stard10	Hnrnpa3	Deptor	Arpc3	Zfp36	Hsp90aa1	Clcn2	Ctss	Atp12a	Gm4262	Gabarap	Slc35c1	Uqcrc2	Msmo1	Ido1	Slc4a7	Rpl34	Psap	Rpl32	Chmp4b	Gsto1	Cyp4f14	Slc39a4	Txnip	Naca	Eif3c	Suclg2	Ahcyl2	Hnf4a	Rhoc	Ddx5	Rplp2	Aph1a	Tomm7	Tmem45b	Cycs	Sult1b1	Clic5	Atp5k	Ptms	Mgat4b	Cttn	Arpc1b	Atp5o	Arpc5	Higd2a	Fuca1	Misp	Rpl21	Chek1	Nudt4	Lamp1	Lima1	Scin	Rpl3	Pla2g10	Efhd2	Capns1	Il13ra1	Pkm	Psma3	Ildr1	Csnk1a1	C1galt1	Gm1123
tmouse_ 118	5	2	1	24	1	61	0	15	0	57	36	0	0	0	49	76	56	1	40	48	47	0	0	39	0	31	22	17	15	45	22	60	0	3	0	27	13	9	0	4	0	0	62	6	15	0	34	0	47	32	6	20	30	20	11	0	30	21	34	40	0	27	1	17	1	20	17	7	5	18	1	26	9	0	30	44	32	31	8	3	0	12	11	0	1	3	9	20	19	8	17	18	20	1	16	8	10	0	0	21	9	11	7	15	7	14	22	15	7	5	19	11	25	0	16	15	16	11	22	13	8	16	7	18	12	14	22	6	18	14	17	23	24	0	30	9	13	19	7	4	5	4	8	18	0	23	2	0	9	1	4	21	12	17	0	10	6	11	5	2	11	23	13	7	10	3	6	15	6	8	0	7	11	0	8	14	0	9	13	0	15	4	10	7	3	4	4	7	7	9	18	2	10	3	14	6	19	9	9	15	6	13	5	22	9	7	6	17	12	17	0	0	7	14	11	6	0	1	12	8	14	8	5	2	4	16	0	11	6	4	14	6	1	9	4	8	6	9	3	4	4	0	10	18	8	6	0	13	8	10	7	5	3	13	1	8	6	12	9	7	10	9	5	10	6	2	10	7	6	0	0	0	7	2	1	1	2	11	6	0	12	2	4	4	7	9	3	10	0	10	1	9	10	12	5	4	6	3	10	8	0	8	3	5	2	1	12	7	6	2	8	9	1	0	6	0	2	2	9	0	2	1	10	11	1	7	13	4	5	6	6	0	7	2	6	9	0	4	6	4	11	7	2	9	10	4	6	9	5	5	8	14	7	13	3	5	1	8	2	6	1	1	3	0	2	0	7	5	4	5	2	8	0	7	5	6	0	5	10	2	7	4	1	6	7	1	1	5	14	0	9	9	6	9	7	5	5	2	3	2	6	2	5	3	14	0	4	1	9	3	8	4	2	1	8	8	3	5	1	2	5	0	8	3	0	1	3	8	12	4	4	5	5	10	6	5	7	8	5	1	7	1	2	0	2	2	9	2	5	0	2	4	3	6	2	8	0	1	3	10	4	9	1	1	1	5	4	3	7	0	1	0	0	6	11	5	3	4	4	8	6	2	4	5	3	1	1	9	0	8	4	2	7	2	4	8	2	3	0	0
tmouse_ 119	6	393	2	15	1	34	0	7	32	33	45	93	20	0	33	1	0	0	19	30	15	1	11	28	0	21	16	36	20	13	10	51	0	1	45	21	0	12	0	43	37	0	5	0	24	0	14	0	13	34	8	11	24	29	3	0	16	19	21	28	41	26	0	22	11	19	31	17	7	18	0	32	17	0	14	18	16	13	32	9	0	9	19	1	21	0	11	11	16	13	22	14	23	0	17	2	0	0	1	21	6	6	2	13	12	8	11	23	15	8	10	11	6	1	14	13	12	6	10	14	23	15	10	12	20	10	10	0	11	10	13	14	1	0	7	4	1	13	3	5	4	6	8	13	0	10	3	0	9	0	11	13	4	13	0	3	0	14	3	13	8	12	6	21	10	2	4	17	2	4	1	6	10	0	1	14	0	11	4	10	7	3	9	9	4	3	2	8	8	12	16	0	9	8	7	11	6	4	9	5	4	8	0	3	3	7	13	9	4	7	0	0	15	9	11	3	3	2	8	5	8	11	2	11	4	2	0	3	6	3	14	3	8	6	2	1	3	10	10	9	1	0	6	5	7	3	0	4	2	3	5	1	0	7	1	16	12	9	4	2	10	2	8	7	3	7	2	7	6	0	2	3	7	3	5	12	2	4	4	3	15	1	10	7	2	6	0	8	3	7	4	11	2	6	5	4	2	4	6	1	5	6	6	2	0	7	4	5	4	10	5	6	0	0	2	3	1	3	4	5	5	4	4	5	0	4	5	3	5	12	1	0	7	4	1	5	7	4	4	0	5	3	0	3	7	2	6	3	3	5	6	1	3	6	0	1	1	1	1	5	6	1	2	0	6	5	3	0	1	11	5	1	9	7	1	1	0	8	5	2	2	7	0	4	1	4	1	3	5	0	2	3	10	1	4	5	6	0	2	2	3	0	5	2	5	1	3	0	5	1	7	13	0	2	4	3	7	1	0	8	2	3	5	8	0	9	5	5	4	0	1	5	3	4	1	12	6	7	2	0	2	0	0	0	0	6	5	2	6	0	5	2	3	3	2	2	0	0	2	5	6	4	0	1	0	3	5	1	1	2	2	1	0	0	2	5	1	3	1	4	3	5	0	2	1	2	5	1	5	2	3	1	10	6	1	2	1	5	7	13
tmouse_ 120	933	217	53	68	55	65	0	22	151	60	89	3	94	0	31	1	1	9	28	36	66	59	0	29	0	69	31	29	34	18	16	30	9	4	41	29	4	36	0	63	37	0	3	12	25	0	15	2	25	12	11	19	9	10	8	0	12	11	9	16	19	21	0	14	2	7	23	12	0	18	1	13	12	1	15	5	14	4	12	22	0	13	17	0	17	0	7	8	7	11	5	3	11	0	10	9	6	33	1	10	12	10	10	8	18	10	12	13	15	2	14	9	5	1	7	8	3	6	7	10	6	10	11	4	12	11	8	3	7	7	6	8	4	0	4	3	2	8	4	6	16	8	9	14	0	6	5	3	12	0	7	7	5	1	0	4	1	13	10	11	8	6	5	10	7	1	7	6	22	2	15	8	9	5	0	5	5	5	10	20	7	5	3	16	0	5	3	6	7	4	5	8	8	11	6	10	1	6	12	3	8	7	0	2	10	5	11	5	4	10	0	1	9	4	4	7	12	10	2	5	8	8	3	2	7	1	0	7	9	3	9	5	7	5	3	3	11	4	6	4	6	0	9	1	6	4	0	0	1	6	5	3	0	5	2	8	4	8	1	7	4	6	5	4	4	5	3	7	1	0	12	4	5	1	1	2	2	2	3	5	8	0	8	12	1	8	2	8	6	8	0	2	7	6	3	4	1	5	2	1	1	8	13	0	5	1	2	6	6	3	4	3	1	0	5	3	2	2	1	2	6	5	9	0	1	1	7	4	7	3	2	0	7	3	0	5	8	0	3	2	6	6	2	6	3	0	2	1	3	2	1	1	3	1	0	4	2	7	1	5	1	3	2	0	2	7	5	5	4	7	5	4	7	3	2	2	8	6	2	7	7	8	0	3	1	19	4	4	3	6	3	5	0	0	3	6	7	1	1	6	2	1	3	3	4	0	2	0	3	2	8	3	0	5	6	2	6	4	1	5	5	7	2	7	0	2	3	7	2	5	4	4	0	3	0	6	2	0	0	6	1	0	0	0	2	3	3	4	4	0	2	1	4	1	3	1	0	1	6	1	0	8	0	1	0	5	4	4	8	2	4	1	0	3	1	4	2	7	2	3	7	3	0	6	3	0	2	0	4	2	8	3	3	3	2	1	1	0	2	0
tmouse_ 121	12	4	3	176	148	86	0	126	3	81	110	0	0	0	161	71	162	69	42	54	74	0	0	40	0	95	86	41	61	27	40	27	67	40	0	39	47	85	0	0	0	0	0	24	32	0	47	35	2	2	28	28	3	7	38	0	2	3	1	2	2	5	0	41	42	28	8	23	29	8	27	4	38	36	39	17	4	1	9	30	14	9	18	10	6	1	44	2	0	16	3	2	0	24	2	13	1	0	43	1	13	13	21	0	20	2	15	5	23	32	25	18	1	7	6	2	20	15	14	4	10	0	5	1	3	8	27	10	1	13	2	1	1	0	1	10	23	2	4	18	20	13	8	3	0	1	28	12	5	24	3	2	4	0	15	14	5	14	10	10	1	1	0	5	2	26	20	0	7	12	1	15	10	11	0	0	1	17	14	0	4	10	2	4	2	19	16	5	2	1	1	14	3	3	0	3	1	8	12	6	7	4	2	2	1	5	10	3	8	8	13	16	3	0	1	15	0	1	2	1	2	3	12	1	11	1	0	2	7	11	0	15	0	1	7	6	4	1	4	0	8	0	10	0	16	0	0	0	8	3	1	3	4	2	16	2	7	1	4	11	15	6	4	5	14	2	0	5	2	9	2	0	5	13	8	3	6	0	7	16	5	10	19	3	3	1	1	10	4	3	13	2	9	0	1	2	1	6	7	9	1	4	3	4	7	1	1	5	5	0	2	14	0	6	7	12	15	4	4	6	14	1	4	0	12	11	2	5	3	0	0	0	2	5	0	1	0	7	8	6	0	3	4	8	2	8	10	2	12	12	6	7	2	1	7	0	5	4	11	5	1	2	0	7	0	2	0	12	9	1	0	0	0	4	5	1	0	7	1	8	0	0	6	6	0	2	0	3	9	0	1	1	8	5	2	5	3	0	3	6	3	12	7	8	3	1	4	9	3	7	1	0	6	7	4	2	1	3	9	2	6	11	1	1	0	3	10	5	1	4	5	7	2	1	5	4	0	2	2	2	0	7	6	0	1	11	4	7	3	1	1	1	1	0	6	5	5	4	2	0	2	2	4	8	6	5	1	5	3	7	3	9	8	3	1	0	8	10	3	3	1	4	7	0	2	9	9	6	1	0	5	7	1	1	2	1	7	1	1	1
tmouse_ 122	1213	396	306	130	101	43	0	40	139	50	81	160	179	0	42	1	1	59	16	20	71	58	2	19	0	58	51	14	42	4	17	28	6	5	68	48	18	35	0	18	73	0	1	17	21	0	14	1	6	5	7	18	5	5	4	0	2	1	2	15	14	6	0	23	1	14	26	4	4	23	1	7	28	0	10	18	5	3	12	20	0	19	13	0	16	0	8	5	1	6	6	4	3	1	7	5	4	24	0	4	10	3	9	1	8	2	13	4	24	14	14	9	1	0	12	2	14	12	6	5	4	4	7	1	10	1	6	1	3	6	1	1	1	0	3	8	2	6	6	1	13	7	20	5	2	0	12	11	11	3	10	1	8	3	1	10	0	10	11	10	7	2	2	2	1	0	9	2	1	11	2	6	8	8	1	2	0	6	10	7	7	4	1	13	1	4	6	3	9	1	3	6	14	15	2	5	0	10	4	5	6	1	0	1	0	5	12	6	3	5	0	3	2	0	4	4	4	5	3	5	3	2	2	1	7	0	0	4	11	8	3	7	10	1	5	5	4	0	11	1	3	0	1	0	1	1	0	3	2	0	8	2	0	3	5	13	5	0	8	3	5	3	4	3	4	2	0	1	5	0	15	0	8	6	7	0	5	0	4	6	0	0	2	4	7	1	0	6	5	3	4	2	1	0	1	9	2	13	0	3	0	4	4	3	5	2	2	1	4	2	2	2	6	0	9	5	2	4	0	5	9	6	3	3	1	5	3	5	4	3	0	2	1	5	0	10	15	2	5	2	1	0	4	5	1	3	3	1	6	2	2	5	1	5	0	1	5	2	1	3	11	4	0	3	0	15	1	4	10	0	2	1	2	7	4	0	8	5	0	7	1	4	0	4	0	3	3	4	0	5	1	7	2	0	1	7	3	0	0	1	1	0	2	0	4	0	7	0	2	0	8	1	0	1	2	1	3	3	2	6	4	2	1	7	0	5	2	3	1	5	2	2	1	0	0	2	0	0	3	1	1	0	0	2	0	2	1	5	6	6	2	2	1	0	2	0	1	0	5	1	2	2	1	1	5	2	2	2	3	2	0	0	0	4	2	6	1	2	0	3	0	0	3	4	1	1	8	0	6	0	7	1	4	6	3	1	2	2	3	4
tmouse_ 123	4	149	3	8	5	61	0	2	4	63	31	0	6	0	35	0	1	0	36	50	28	0	4	29	0	44	13	18	19	30	18	55	0	2	24	19	0	8	0	53	3	0	6	5	13	0	26	0	25	26	13	9	17	20	5	0	30	20	15	16	19	23	0	18	5	23	36	10	3	42	0	21	13	0	16	23	18	15	42	7	0	38	17	2	6	1	13	13	17	17	15	11	11	1	14	9	2	0	0	27	6	8	2	21	8	7	27	14	19	8	8	10	17	0	5	11	26	19	21	13	29	9	11	11	16	7	12	5	8	17	15	13	6	0	9	1	0	10	8	3	1	4	5	8	0	11	6	0	5	0	12	5	16	10	0	3	0	13	16	8	20	9	8	9	4	0	2	7	9	5	4	8	8	0	0	9	10	5	3	0	7	8	10	4	2	1	1	6	7	10	3	2	8	3	5	12	11	7	2	8	4	9	1	1	5	9	6	1	10	15	0	0	13	11	7	4	4	4	3	4	8	19	1	4	4	5	0	4	2	3	12	3	7	8	1	3	10	10	18	5	4	0	3	0	4	7	0	7	3	9	11	0	1	16	0	9	8	5	5	5	5	4	11	14	5	15	4	6	6	3	6	6	6	0	1	7	1	7	3	4	9	0	9	6	0	7	0	3	7	4	1	10	4	7	2	1	1	2	5	3	7	8	7	6	1	7	6	3	7	10	2	5	0	2	11	1	0	0	1	0	12	15	2	8	0	3	2	3	5	11	1	0	6	5	2	5	1	0	5	1	6	6	0	1	6	4	1	4	2	5	3	3	5	9	0	2	2	5	0	10	5	3	1	0	7	1	1	3	6	8	6	4	4	2	7	4	0	6	5	6	7	10	0	6	8	2	3	2	4	0	4	3	5	0	2	2	3	3	4	3	6	1	3	1	5	0	1	0	6	1	1	4	0	1	1	4	7	5	2	5	2	1	4	6	0	5	4	2	8	1	4	4	1	5	1	11	1	7	3	0	1	0	0	0	1	8	6	5	10	0	9	2	2	8	3	0	0	3	0	9	12	6	3	2	2	3	8	4	1	2	4	0	1	3	0	5	1	4	1	4	0	2	1	5	2	1	3	1	4	2	0	3	2	6	3	7	2	3	9	0
tmouse_ 124	9	4	0	283	220	83	0	129	0	56	71	3	1	0	158	56	129	90	49	55	83	0	0	56	0	71	108	35	94	34	40	29	78	52	0	68	47	52	0	0	0	0	1	19	26	0	53	46	3	2	15	23	5	7	55	0	1	1	7	2	5	1	0	29	45	26	3	43	48	9	26	3	32	39	29	8	5	2	6	31	0	3	15	46	1	3	7	1	5	21	4	1	4	24	3	37	22	0	21	2	8	12	47	2	18	1	14	3	15	24	14	21	0	15	13	3	12	26	9	3	11	0	4	1	1	16	17	13	3	10	1	1	1	0	1	27	21	2	4	23	7	11	15	2	0	0	25	16	8	25	8	0	7	1	22	15	3	2	2	10	2	4	0	3	2	31	21	0	2	14	0	8	8	18	0	0	1	14	9	0	13	11	1	6	1	18	11	9	0	2	1	12	3	15	0	2	0	13	15	3	8	0	0	0	7	2	4	8	4	5	9	15	0	0	2	12	0	3	2	0	2	2	13	1	10	0	0	0	16	9	5	4	0	1	20	17	9	0	7	0	20	0	5	1	23	0	11	1	4	2	2	6	8	2	8	9	8	1	7	19	10	8	1	3	13	1	0	11	1	12	0	0	5	5	16	5	6	0	10	8	1	9	2	6	1	1	4	7	13	2	9	0	13	0	2	6	7	8	5	8	0	1	7	9	9	0	1	12	2	0	8	6	12	4	10	12	22	12	0	6	10	1	11	0	8	12	12	6	8	2	2	0	0	3	0	1	1	7	4	8	1	1	1	10	3	5	9	2	6	9	5	11	5	1	6	3	13	4	7	4	0	10	0	8	0	4	5	4	7	1	0	0	0	5	3	0	0	2	1	3	0	1	8	4	2	2	13	6	3	0	1	2	5	9	5	6	3	0	7	8	7	10	11	6	5	0	10	13	5	6	7	2	13	10	6	3	2	6	8	1	8	10	1	5	0	0	6	2	2	0	2	2	0	2	3	2	3	1	4	0	0	8	8	11	3	3	3	8	6	0	4	0	2	1	4	1	9	4	5	0	2	5	5	13	12	5	0	6	3	5	12	1	9	4	0	3	7	5	5	6	8	6	7	1	2	9	7	6	1	0	1	11	0	1	6	1	7	7	0	0
tmouse_ 125	16	5	3	133	149	122	0	197	1	70	69	0	1	0	92	91	81	18	46	54	84	2	2	54	0	57	64	47	50	28	38	56	50	54	3	70	20	56	0	3	0	0	2	28	33	0	35	14	5	17	22	55	16	14	17	0	6	10	6	15	1	12	0	37	54	27	3	22	52	6	37	16	23	19	21	20	21	7	4	18	0	2	23	10	4	19	20	12	7	32	5	9	7	16	11	22	6	1	11	3	23	8	12	7	16	5	10	10	22	10	19	17	12	11	35	9	13	14	18	11	5	7	16	4	12	14	11	14	11	12	5	3	4	0	6	17	7	5	2	17	7	17	9	7	0	2	9	12	3	18	4	7	7	1	13	9	2	8	3	9	4	2	0	6	8	19	12	7	4	13	2	12	11	16	1	7	1	7	8	0	11	13	5	4	1	16	4	9	13	3	6	7	2	9	2	3	0	13	9	5	8	5	0	0	1	5	5	4	14	2	2	9	7	2	5	5	0	6	3	0	4	4	8	2	7	3	0	1	14	16	0	8	0	5	0	11	7	1	2	0	10	0	10	1	8	2	0	2	9	4	0	7	4	1	5	4	5	7	8	11	10	7	3	3	5	3	0	3	2	4	1	0	6	6	11	1	13	0	5	5	3	4	4	6	3	2	4	10	2	5	18	2	13	2	4	11	7	12	10	4	0	1	2	10	8	0	1	5	5	0	10	12	6	9	3	7	10	2	1	8	11	1	2	1	2	11	8	9	5	1	0	0	2	7	1	3	1	3	2	8	4	1	0	10	2	6	15	2	10	7	7	4	3	6	11	0	9	8	9	0	0	1	0	5	0	3	4	9	4	0	0	2	0	11	2	1	0	5	4	4	1	0	2	4	2	0	5	7	8	0	3	5	0	11	4	6	1	2	1	5	4	8	14	7	8	0	6	7	2	6	4	0	11	5	5	3	2	6	2	2	5	4	0	2	0	0	3	6	4	1	11	3	1	2	5	1	0	4	13	5	1	6	3	0	0	2	2	9	0	0	1	5	7	2	3	3	1	2	4	0	3	4	5	2	5	1	3	9	6	3	6	7	2	3	0	1	5	8	7	5	6	4	8	3	5	4	6	3	3	0	7	6	0	1	7	2	12	6	3	1
tmouse_ 126	974	399	404	56	100	51	0	20	124	40	148	2	114	0	66	1	3	15	36	36	83	41	0	14	0	102	35	21	33	18	17	13	31	8	41	48	11	47	0	26	48	0	3	26	24	0	21	0	12	5	12	40	2	4	4	1	4	3	2	5	7	13	0	13	0	6	11	16	7	16	0	4	39	1	5	13	4	3	2	19	0	15	13	0	7	0	15	4	0	2	3	0	0	1	2	9	5	0	0	4	9	9	12	1	23	5	19	1	17	10	9	12	6	0	6	2	7	13	7	1	8	5	2	6	6	3	12	1	1	6	0	0	1	0	1	15	0	2	10	6	21	7	14	3	14	2	19	16	20	6	5	1	17	3	0	11	0	18	10	12	9	2	2	3	1	1	9	2	14	15	4	2	5	6	0	0	1	4	15	1	6	8	0	10	0	8	5	13	2	0	4	20	12	12	2	11	0	5	11	9	11	4	0	0	1	5	9	2	1	9	0	1	1	0	1	4	13	11	1	8	2	1	4	0	10	1	0	4	12	5	8	10	8	1	2	10	6	0	8	5	4	0	2	2	3	0	0	4	2	2	6	7	0	5	5	8	10	2	2	3	4	10	7	4	3	6	4	4	4	0	16	0	1	1	6	5	8	0	1	3	9	4	2	2	1	1	0	7	6	3	3	2	4	0	0	9	1	10	2	1	1	12	2	7	3	0	0	1	1	5	3	6	8	3	9	1	5	5	10	3	6	9	6	9	1	6	2	8	12	5	0	2	1	3	0	7	11	4	3	7	2	4	5	3	2	4	13	1	2	4	1	7	6	2	2	0	4	3	1	2	2	2	0	0	1	13	2	6	2	7	3	2	5	11	0	1	6	4	2	2	3	2	0	9	0	14	6	0	1	8	0	4	0	1	1	3	6	2	5	0	1	6	6	1	7	0	3	0	4	1	3	4	2	1	1	1	10	4	2	3	1	1	2	12	0	0	3	4	1	8	3	5	1	4	0	1	0	1	6	0	0	0	1	0	2	9	1	2	3	28	3	0	1	1	3	3	0	3	2	1	2	0	0	8	7	3	0	5	2	2	5	0	3	4	0	3	5	6	2	1	1	4	2	1	2	1	5	2	6	0	4	4	2	7	2	0	2	4	4	0
tmouse_ 127	3	19	4	20	0	154	0	6	12	130	23	31	3	0	16	11	40	1	91	157	18	1	6	77	0	25	23	70	11	76	54	51	1	3	12	15	2	4	0	12	0	0	69	2	23	0	10	2	27	28	11	11	23	47	10	0	28	19	45	29	15	17	0	17	0	14	23	11	4	18	0	28	8	2	13	19	16	17	10	7	0	13	3	0	2	4	3	14	7	7	16	12	23	0	19	9	0	0	0	21	2	10	5	16	8	13	12	24	5	6	9	7	17	0	8	13	4	9	9	7	7	17	9	12	16	5	3	2	12	13	3	14	28	0	18	7	20	15	24	7	5	2	3	13	0	13	2	0	5	0	12	10	13	8	1	6	5	11	10	4	4	6	11	11	12	5	1	17	8	3	14	10	5	0	14	21	16	11	6	5	12	4	9	6	1	2	6	9	8	8	16	0	4	5	9	13	7	3	2	7	2	9	13	22	11	20	6	7	11	12	0	1	10	13	11	2	1	0	11	5	13	7	1	18	3	8	0	9	4	6	9	0	2	12	0	4	4	5	6	9	3	2	7	11	8	9	0	24	5	7	5	2	2	4	1	4	7	8	7	7	1	1	6	7	7	1	15	9	8	0	0	5	6	1	1	3	0	8	3	2	16	5	3	2	9	14	0	2	5	8	1	6	3	15	10	5	5	2	5	7	7	9	5	4	3	2	6	1	6	3	1	8	1	0	5	0	1	1	5	0	5	7	3	4	0	2	5	3	5	6	4	0	6	6	10	2	0	3	4	4	9	1	0	8	6	3	3	7	0	2	6	4	4	6	0	8	4	4	0	2	4	2	3	0	6	1	9	0	1	5	6	10	1	5	8	4	1	6	13	1	7	10	0	1	6	2	0	4	5	1	11	7	4	5	1	2	2	15	6	1	7	2	2	3	2	0	5	0	4	0	3	5	1	1	5	3	6	2	2	4	1	4	1	3	0	4	9	2	3	2	3	1	8	9	3	0	8	5	6	3	10	1	0	0	6	0	8	4	2	0	0	3	6	3	1	0	0	2	1	0	5	4	1	5	0	10	5	2	2	2	4	0	1	3	8	2	0	4	4	5	2	1	1	4	12	0	0	3	2	4	1	3	0	0	2	7	1	3	0	2
