"x"
"Ttr"
"Ptgds"
"Enpp2"
"Npy"
"Rn18s-rs5"
"Sst"
"Afap1"
"Lyz2"
"Dpp7"
"Cyp2s1"
"Klhl6"
"Tpx2"
"Itih3"
"1500015O10Rik"
"Ctss"
"Bmp2"
"Mast2"
"Nudt8"
"Foxc1"
"Jakmip1"
"Polr3f"
"Smurf2"
"Fam122b"
"C77080"
"Trmt61b"
"Ccnt1"
"Casq1"
"Fmod"
"Ermp1"
"Bace2"
"Ccl4"
"2010320M18Rik"
"Uspl1"
"Atp6v0c"
"Prkg2"
"Bud13"
"Zfp423"
"Krba1"
"Ddx20"
"Ccbl1"
"H2-Eb1"
"Rel"
"Cep152"
"Rsph4a"
"Tbxas1"
"4930412C18Rik"
"Gm10000"
"Tango6"
"Thbd"
"Tmem212"
"Kcnk12"
"Trmt2b"
"Ctsd"
"Tunar"
"Kcnq1ot1"
"Pafah2"
"Lrrc10b"
"Plp1"
"Xylt2"
"Zfp866"
"Rpp30"
"4932443I19Rik"
"Gm37694"
"Zswim4"
"Ccdc113"
"Rnf214"
"Vtn"
"C030005K06Rik"
"Coa4"
"Havcr2"
"Atp8b1"
"Mad2l1"
"Vip"
"Fgf1"
"Dennd1b"
"Igfbp2"
"Pdcd7"
"Igf2"
"Amz1"
"Sclt1"
"Brcc3"
"C1qb"
"Apoe"
"Wfdc2"
"9330160F10Rik"
"BC025920"
"Ctu1"
"Xylb"
"Eps8l1"
"Eno3"
"Sapcd2"
"Rsad2"
"Tars"
"Pik3c3"
"Msn"
"Gpr137"
"Dnajc27"
"Pola1"
"2610037D02Rik"
"Angpt1"
"Lrig1"
"Nupl2"
"Wdr17"
"Dgat1"
"Cntrl"
"Gucd1"
"Rspo1"
"Tefm"
"Nfkbia"
"B2m"
"1700026D08Rik"
"1810021B22Rik"
"A330040F15Rik"
"AI607873"
"Acvrl1"
"Adgrf4"
"Aldh1a7"
"Atoh7"
"B4galt1"
"Bmp6"
"Ccbe1"
"Ccbl2"
"Ccdc120"
"Ccdc24"
"Crabp2"
"D630036G22Rik"
"Dmrtb1"
"Fndc1"
"Glis2"
"Glis3"
"Gm10642"
"Gm13157"
"Gm14005"
"Gm15513"
"Gm20457"
"Gm26559"
"Gm26604"
"Gm26964"
"Gm28229"
"Gm37311"
"Gm37964"
"Gm37965"
"Gm38043"
"Gna15"
"Gpr151"
"Heph"
"Hfe2"
"Igsf9"
"Il18bp"
"Itga1"
"Kbtbd8"
"Lamc3"
"Lyzl4"
"Masp1"
"Milr1"
"Mrc1"
"Myo5c"
"Pcdh18"
"Ppic"
"Prc1"
"Psg16"
"RP23-113O9.4"
"RP23-195B3.5"
"RP23-309G12.2"
"RP23-34P11.1"
"Rassf6"
"Rnf180"
"Sgol2a"
"Slc4a11"
"Snai2"
"Snord70"
"Sult1c2"
"Tbc1d2"
"Tepp"
"Trim7"
"Tube1"
"Ube2cbp"
"Xlr3a"
