Zg16	Clca1	Muc2	Lypd8	Sprr2a2	Igkc	Plac8	Tff3	Mptx1	Fcgbp	mt-Co2	S100a6	Saa1	Actb	Muc3	mt-Co1	Dmbt1	Krt8	Spink1	Reg4	Igha	mt-Atp6	mt-Cytb	Muc13	Txn1	Krt20	Prdx6	Tspan1	mt-Nd1	Spink4	Jchain	Ly6a	Ceacam1	Sval1	Tpt1	Agr2	mt-Nd4	B2m	mt-Nd2	mt-Co3	Ptma	Lgals3	Car4	Actg1	Slc25a5	Ppia	Rps23	H2-Aa	Eef1a1	Ccl6	Rpl23	Tmsb4x	Rack1	Rpl27a	Guca2a	Reg3b	Rps24	Reg3g	Plet1	1810065E05Rik	Rps21	Scd2	Slc26a3	Ly6e	Atp1b1	Cox7c	mt-Nd3	Rplp0	Aqp8	Calr	Cox8a	Tgm3	Dstn	Calm1	Hsd11b2	Rps14	Rpl10a	Rpl41	Slpi	Crip1	Oit1	Aqp4	Hspa5	Mgat4c	Gm29123	Rps3a1	Rpl15	Itm2b	Lgals4	Ifit1bl1	Rps20	Rps7	Gm10053	Rpl30	Car1	Eif2s2	Rps27a	Cox6a1	Rpl39	Rps16	Cox5a	Rps3	Rpl18a	Rps9	Rpl17	Myl6	Gpa33	Tspan8	Gapdh	Rpl35a	Rpl7	Chchd2	Tm9sf2	Retnlb	Hsp90ab1	Cox4i1	Rpl31	Wdr24	Rpl13a	Slc26a2	Atp5g3	Gfpt1	Rps13	Actn4	Arf1	Tgoln1	Slc25a3	Rpl28	Rps29	Gm20594	Sectm1b	Mxd1	mt-Nd5	H2-Eb1	Ezr	Tmbim6	Cox6b1	Srsf1	Rps11	Atp5a1	Ces2c	Prdx1	Rpl37a	Atp1a1	Rpl5	Hmgb2	Uqcrb	Serinc3	Rpl37	Maoa	Cd9	Clca3b	Fos	Rpl12	Jun	Klf4	Clec2h	Smim14	Rfk	Tmem59	Rps26	Manf	Rpl4	Rps25	Eef1b2	Rps19	Sycn	Tubb5	Tmem86a	Gm8797	Cdh17	Cdkn1a	Ccnd2	Hk2	Pls1	Fth1	Upp1	Nfatc2	Cdh1	Ubc	Rpl6	2200002D01Rik	Krt19	Rps17	Rpl7a	Adh1	Fabp6	Rep15	Gzma	Gnas	Rps28	Ldha	Cldn7	Spint2	Hspa8	Hmgb1	Gng5	Dynll1	Rpl10	Id1	Rps18	Cs	Cox6c	Sec61b	Klk1	P4hb	Hint1	Mgst3	Snrpf	Txndc5	Gm17541	H3f3a	Rps8	Serf2	Tm9sf3	Clca4b	Tmed2	Pabpc1	Prr13	Xist	Cd63	Hdgf	H3f3b	Myl12b	Tagln2	Pdia6	S100a10	Rps4x	Gm11808	Rps6	Rpl14	Cystm1	Tm4sf20	Slc44a4	Slc10a7	Rplp1	Atp5g1	Vdac2	Ybx1	Cdhr5	Rpn1	Bcas1	Cd74	Gm9844	Pfn1	Set	Ceacam10	Rpl13	Rps15a	Hsp90b1	Gsdmc4	H2-Ab1	Aldh2	Atp5l	Tpd52	Calm2	Slc12a2	Ggh	Ckmt1	Chp1	Pigr	Ctnnd1	Iqgap2	Cd177	Serp1	Ahnak	Car2	Rnf31	Rpl19	Rpsa	Fut2	Duox2	Cmpk1	Ms4a8a	Spcs2	Dmxl1	Prss32	Clic1	Aco2	Pcbp2	Wbp5	Rpl22	Actr3	Anxa2	Ywhaz	Cox5b	Emp1	Cd24a	Rrbp1	Nov	Slc13a2	Gprc5a	Tmprss2	Tuba1b	Sri	Cd164	Btf3	Hmgcs1	Slc6a8	Tmed10	Ptp4a1	Cox7a2	Fxyd3	Mdh1	Myh14	Gpx2	Eef1g	Serpinb1a	Gcnt3	Pdlim1	2210407C18Rik	Mboat1	Ctsb	S100a11	Lars2	Sec61g	Galnt7	Atp5c1	Pkn2	Rps5	Cox7b	Dsg2	Dbi	Serpinb6a	Cd38	St6galnac6	Uqcrq	Arf4	Apol10a	S100a16	Lama4	Ndufa4	Atp5b	Lrrc58	Uqcr10	Pmp22	Rpl36a	Smpdl3a	Ywhab	Gmds	Gnb1	Ucp2	Rbm47	Atp5g2	Creb3l1	Qsox1	Zfp644	Ctnnb1	Hepacam2	Atp5j	Id3	Rac1	Ndufb8	Ywhae	Sqrdl	Mcl1	Klf6	Hnrnpab	Gsn	Glul	Sppl2a	Rps10	Rpl26	Ces2e	Arpc2	Dlk1	Sypl	Ostc	Npm1	Sec61a1	Rpl8	Gda	St3gal4	Hnrnpf	B3gnt7	Tapbp	Krt18	Atp5f1	Uqcrh	Ethe1	Golm1	Prdx5	Parm1	Pcbp1	Tkt	Ido1	Ybx3	Rpl38	Rnf128	Zfp36	Atp12a	Cyp4f14	Lurap1l	Hoxb13	Eif4g2	Hsp90aa1	Tram1	Capzb	S100a14	Nans	Ywhaq	Mrfap1	Arl1	Gna11	Serbp1	Lasp1	Atp5j2	Slc5a8	Shisa5	Gm4262	Atp6ap2	Rhoc	Hnrnpa2b1	Hnrnpa3	Slc6a14	Eif1	Aes	Ctss	Ahcyl2	Clcn2	Clic5	2010107E04Rik	Eef2	Ndufa6	Sult1b1	Eif5a	Pdia3	Suclg1	Scin	Ddost	Oaz1	Rab1a	Cldn3	Tax1bp1	Npc2	Stard10	Slc4a7	Deptor	Uba1	Ly6d	Arf6	Rpl32	Cdc42	Slc39a4	Rpl34	Gsto1	Ptms	Misp	Txnip	Nudt4	Gm1123	Ndufa2	Naca	Rplp2	Elf3	Slc35c1	Ier2	Srpk3	Msmo1	Higd1a	Cib1	Cycs	Rab2a	Usmg5	Uqcrc2	Chmp4b	Cpd	Hnf4a	Eif3c	Gabarap	Gbp2	Apobec1	Rpl3	Tmem45b	Pkm	Aph1a	Arpc3	Il13ra1	Suclg2	Ildr1	Gsr	Ddx5	Hist1h2bc	Tomm7	Rpl21	Rps12-ps3	Higd2a	Cttn	Ncl	Atp5o	Snhg8	Hgfac	Galnt12	Ceacam20	Mgat4b	Ccng2	Ubd	Arpc1b	Pla2g10	Tubb4b
1213	306	396	130	101	0	40	139	160	179	43	81	59	42	1	50	1	71	58	2	0	20	16	51	58	6	5	42	19	68	0	18	35	73	28	18	14	48	4	17	1	17	1	21	14	6	5	4	5	14	5	18	2	1	1	0	15	0	4	1	6	2	0	26	4	14	7	7	0	23	23	0	28	10	16	5	3	18	24	8	12	0	19	1	4	5	1	20	13	0	4	3	5	6	0	9	4	6	7	1	10	2	4	1	2	14	14	8	6	1	4	9	24	2	1	12	5	1	3	1	7	4	1	8	13	14	1	3	10	6	3	11	3	2	12	12	6	13	6	6	1	0	5	1	3	1	7	10	1	0	11	0	2	2	0	10	8	7	9	20	2	11	2	2	1	2	7	0	1	8	11	6	0	6	4	6	0	1	10	1	2	3	6	3	1	1	0	4	0	10	9	4	4	8	0	0	10	13	1	5	0	4	10	5	10	14	3	2	0	1	2	7	3	6	5	0	5	4	7	1	15	3	5	8	12	5	5	1	6	0	1	3	0	5	11	4	2	7	3	5	3	15	2	13	1	0	8	0	0	3	0	2	8	4	11	1	0	0	6	4	3	3	7	5	2	5	1	0	3	2	0	0	5	6	0	0	5	3	4	7	0	1	1	5	8	1	1	2	2	2	0	6	4	0	9	4	3	4	5	4	5	6	2	2	2	0	2	5	15	13	4	4	3	3	0	4	6	0	0	1	1	5	3	5	2	5	2	3	0	10	8	1	2	6	4	3	1	1	9	3	2	4	3	0	0	11	5	3	2	5	7	9	3	1	4	4	3	0	15	5	2	1	1	0	5	0	2	0	0	1	1	0	0	0	2	5	3	2	2	0	3	0	10	4	1	6	1	0	5	1	2	1	2	1	4	1	3	7	5	1	1	7	1	0	1	2	4	0	7	0	5	5	1	0	0	5	1	0	1	0	0	0	1	4	0	0	3	1	6	6	2	4	0	2	7	2	2	0	4	0	2	0	2	0	2	0	2	3	5	1	4	8	1	2	2	1	1	6	6	0	3	0	3	2	5	2	7	1	2	2	1	1	0	2	3	2	3	6	2	2	1	2	2	3	4	1	0	1	0	0	0	6	5	0	6	4	0	2	7	2
18	4	3	375	244	0	149	3	1	0	52	156	171	70	59	48	151	53	0	0	0	30	25	90	31	33	136	61	41	2	0	74	36	0	24	0	25	35	23	15	1	25	36	17	33	6	2	34	3	4	4	8	2	4	0	0	7	0	10	5	3	4	9	11	33	45	8	7	3	26	29	29	22	17	2	11	1	2	0	11	15	1	7	1	30	2	4	31	30	24	2	1	28	3	20	23	1	29	2	2	18	4	5	1	1	10	11	10	21	2	4	10	10	2	3	22	5	1	1	9	10	11	5	13	10	9	15	2	3	2	22	5	13	7	7	20	11	21	7	13	16	7	4	9	1	0	13	0	1	8	15	35	4	0	0	5	15	3	5	10	3	3	1	5	1	0	1	0	2	6	12	4	0	2	15	11	8	3	8	8	4	10	5	2	2	2	0	1	0	8	2	11	18	9	1	0	4	15	2	7	2	16	15	5	2	7	2	9	0	0	3	9	1	8	3	34	1	5	12	2	9	0	4	5	4	2	11	1	11	2	2	2	34	11	9	1	3	9	4	12	0	0	5	0	2	0	0	1	3	1	1	13	7	11	5	6	0	10	7	5	15	5	6	0	3	5	1	1	5	0	8	9	2	6	0	1	15	3	15	0	1	1	5	4	8	10	0	0	5	0	2	5	9	0	5	4	3	3	12	7	2	9	0	11	10	0	2	17	0	14	9	9	5	2	2	7	0	4	0	1	8	5	3	4	14	8	6	1	0	6	0	3	12	4	5	5	0	13	4	3	1	3	4	3	1	0	1	7	0	5	2	8	10	1	8	2	6	3	7	0	3	0	0	7	8	0	0	2	0	5	0	8	5	1	2	6	3	1	6	3	2	11	3	1	0	1	0	1	2	4	9	1	0	10	3	1	3	3	5	1	0	1	4	2	0	8	5	3	7	0	3	5	2	3	0	5	5	9	0	2	12	6	4	5	5	0	2	2	0	1	5	1	2	2	10	2	0	0	4	17	8	0	2	8	1	2	0	1	3	2	0	5	0	0	1	4	0	1	6	1	0	11	0	3	7	3	4	5	1	4	3	7	1	6	2	6	2	2	1	2	1	1	2	3	0	0	4	1	0	3	0	1	0	3	2	5	2	1	8	4
891	520	283	80	31	0	14	128	11	156	97	97	41	33	22	53	4	43	160	0	0	59	64	32	50	15	18	31	48	11	0	13	22	68	19	6	48	17	33	38	1	12	0	7	8	9	3	5	10	5	7	17	6	7	0	0	6	0	2	1	8	15	1	15	14	15	23	3	0	19	14	0	15	13	20	4	5	6	7	6	11	1	13	0	1	4	1	19	15	0	5	1	3	7	0	17	1	9	4	2	2	3	4	6	1	16	6	17	3	3	4	5	13	7	4	7	4	3	4	1	0	1	3	5	9	12	3	6	13	11	3	8	16	5	6	19	5	10	8	5	0	1	3	4	5	1	2	6	6	1	6	6	2	2	4	3	16	8	7	13	7	10	3	5	3	3	4	0	3	12	5	8	8	5	3	6	0	4	9	15	2	3	6	1	0	9	0	23	0	9	5	8	1	5	3	0	11	8	4	6	2	3	4	6	6	13	9	7	1	2	4	3	0	8	6	0	9	4	5	5	6	1	6	1	7	6	1	3	2	3	1	1	2	3	4	1	3	8	4	2	6	11	1	3	3	6	2	3	0	5	0	5	2	3	5	5	2	1	2	2	10	4	6	2	6	10	2	2	2	2	4	1	3	5	7	2	5	5	4	2	2	1	2	4	4	1	0	1	3	0	0	4	3	1	1	3	1	1	0	12	3	2	2	6	1	0	4	4	3	3	8	0	4	1	3	3	8	4	1	3	2	1	2	4	0	1	2	2	1	4	5	2	1	3	4	0	2	2	3	2	2	10	4	5	3	5	9	8	1	4	4	5	2	1	4	0	0	3	11	8	4	1	2	0	8	0	8	3	0	5	1	2	1	2	4	1	13	3	2	0	3	1	1	2	4	8	5	3	1	0	0	0	0	1	4	0	2	4	2	1	0	3	0	2	1	4	3	0	0	3	5	0	1	1	1	0	2	1	0	0	0	4	2	2	1	1	6	2	4	5	2	2	3	6	3	2	1	1	4	0	5	1	2	2	3	0	3	2	3	1	8	3	1	1	3	3	1	2	5	2	5	0	3	1	1	4	7	2	1	4	5	3	0	1	1	0	2	10	2	4	1	2	5	1	2	1	1	5	2	1	0	3	4	0	3	0	0	2	4	1
5	4	47	4	2	0	2	8	5	0	34	24	1	16	0	36	0	8	0	166	0	30	32	13	24	0	1	10	37	51	0	2	2	3	72	19	18	29	29	13	34	1	0	30	35	28	49	11	47	45	38	13	44	26	7	0	39	0	1	0	41	18	0	34	6	19	30	27	0	26	16	0	7	7	22	32	26	30	0	6	16	0	6	0	0	20	25	8	11	0	22	17	5	26	0	1	22	10	17	23	13	34	16	23	35	5	6	3	10	24	25	8	10	0	12	8	14	25	22	1	17	9	13	1	9	5	6	18	24	1	0	0	5	4	3	10	6	7	16	10	0	22	18	11	17	3	12	14	10	0	11	1	3	15	1	0	0	5	0	5	12	5	17	15	23	8	0	12	0	22	2	1	2	0	4	7	0	20	2	6	10	0	2	14	13	2	0	0	0	18	20	8	2	15	24	7	3	10	9	0	19	1	3	12	5	9	13	0	3	13	15	14	4	6	10	1	5	10	1	7	11	11	5	2	9	6	1	13	7	12	9	2	0	1	7	9	14	7	7	0	11	4	3	7	12	7	3	6	10	6	0	3	2	4	8	4	3	0	0	0	6	3	1	3	1	1	3	12	0	8	2	1	3	2	8	9	2	9	2	6	15	11	5	1	5	5	0	8	1	5	0	0	3	9	1	7	5	1	0	7	2	2	6	7	0	6	8	1	2	4	1	0	2	2	0	5	2	6	0	6	4	0	5	3	0	5	4	1	0	5	0	13	8	5	6	0	15	1	5	4	2	11	1	5	4	10	1	2	2	7	0	7	5	7	0	1	3	9	2	4	2	5	7	0	4	0	6	6	9	3	5	0	2	8	2	3	2	10	6	1	4	0	6	3	5	0	8	8	0	1	0	0	0	4	6	7	2	4	3	2	10	7	2	1	9	0	4	0	1	4	6	0	5	7	0	7	2	0	0	0	1	4	5	3	0	1	5	4	0	7	2	4	3	2	6	4	2	0	1	0	3	6	0	1	9	1	0	0	4	0	1	11	5	12	2	5	4	0	0	0	8	1	3	7	1	3	6	0	3	2	0	0	7	3	0	2	3	1	4	2	7	6	0	2	4	8	0	3	6	3	8	3	4	0	3	0	0	4	1	1
7	2	2	169	101	0	80	0	0	0	39	64	14	121	85	25	128	82	2	1	0	25	19	44	55	57	26	48	34	0	0	29	53	0	30	0	21	36	11	24	3	30	11	35	57	3	7	25	7	1	3	24	4	4	45	0	7	0	46	29	4	9	30	6	24	10	9	9	1	8	38	0	37	25	7	7	4	12	0	11	12	26	8	21	11	4	4	16	18	15	2	5	19	3	8	17	1	17	3	3	13	2	5	5	1	23	16	6	23	4	7	10	21	1	3	13	7	1	1	13	9	15	0	21	11	11	14	8	6	3	7	15	7	11	17	19	18	8	4	24	9	2	5	17	2	0	11	0	2	17	5	1	0	0	0	19	14	2	15	9	1	4	0	4	3	2	1	0	0	1	8	6	2	11	10	8	2	4	15	5	6	13	13	4	2	0	0	0	0	7	3	10	10	9	6	0	11	5	2	1	2	10	10	3	0	9	8	7	0	1	4	7	0	4	6	0	5	2	13	3	5	2	4	5	6	0	6	1	8	0	1	9	0	9	9	6	9	7	4	12	1	0	12	4	12	1	1	1	3	3	6	5	4	16	5	9	0	1	8	3	11	8	13	0	5	3	13	2	6	1	4	5	7	3	6	2	8	6	14	3	0	0	12	5	11	13	5	0	11	0	15	4	8	0	6	3	4	1	10	2	11	10	0	9	7	1	1	1	2	2	3	7	12	1	1	1	1	6	1	0	6	15	11	10	8	7	6	1	10	0	0	2	6	7	11	6	2	11	3	1	5	2	6	2	0	0	0	12	0	5	2	19	2	2	2	4	3	0	2	2	5	3	0	1	6	0	0	0	0	2	0	4	8	3	2	5	3	3	7	8	2	3	4	0	2	0	2	1	2	3	0	4	2	3	7	0	0	4	7	1	1	0	8	4	0	3	8	2	5	1	0	4	3	2	4	6	5	3	4	7	5	5	4	3	4	1	0	2	3	0	2	6	3	6	1	0	4	3	6	1	9	2	8	1	1	2	1	13	2	5	0	3	4	1	7	2	0	0	4	5	6	9	2	2	2	5	6	3	3	6	1	5	0	4	8	8	7	1	2	2	3	6	2	1	1	0	7	4	0	6	0	0	1	4	2	2	0	3	2	5
685	17	139	45	42	0	12	110	12	36	39	126	2	54	0	39	0	59	23	4	0	28	19	32	38	7	2	24	17	48	0	10	17	36	58	43	20	19	15	15	3	26	1	18	30	16	25	7	22	9	33	22	7	10	1	0	12	0	0	0	21	6	0	18	6	12	11	18	0	28	9	1	12	11	9	8	11	25	22	13	9	0	31	0	3	15	23	15	14	1	12	17	9	17	0	9	13	14	13	12	9	7	13	11	6	13	11	11	4	13	12	6	27	0	3	9	12	11	13	0	9	6	6	7	18	11	11	11	13	7	1	0	15	2	5	9	9	12	5	12	0	3	10	4	11	0	7	4	9	2	14	0	15	9	8	6	15	10	10	20	9	19	5	11	8	3	6	1	4	6	3	4	9	7	2	5	3	8	9	13	9	4	12	4	3	2	0	21	0	8	7	4	6	7	4	2	7	20	10	5	1	4	3	10	9	7	4	5	1	3	5	6	4	5	6	0	3	2	3	9	9	2	14	3	13	5	5	6	3	4	6	4	0	1	3	10	4	8	4	2	6	18	0	6	2	1	1	8	3	5	0	5	2	4	12	5	2	0	2	1	2	2	1	0	8	2	3	4	14	3	0	1	14	4	7	9	8	3	14	1	1	7	3	7	5	3	0	0	11	0	0	1	8	0	4	1	4	12	0	5	1	12	11	3	0	1	3	3	5	3	0	2	3	5	0	6	4	1	1	1	2	3	6	3	1	0	5	15	0	10	5	5	4	6	8	0	2	0	12	1	1	1	2	2	4	3	10	5	7	3	11	8	5	5	8	2	0	5	11	7	4	4	7	0	5	0	0	5	1	2	3	0	0	0	1	1	3	0	5	2	6	0	5	6	12	0	3	3	3	5	2	0	3	3	2	0	12	5	10	2	1	5	1	0	1	3	4	0	4	2	4	1	2	0	0	5	2	1	0	0	0	5	2	2	1	7	12	2	5	4	1	6	3	2	3	1	4	0	5	0	4	5	3	0	4	1	0	1	1	0	0	4	1	4	4	1	1	0	7	1	4	4	2	2	7	5	7	2	4	4	9	2	4	8	1	1	5	1	4	3	1	4	2	2	4	9	4	4	1	4	2	1	0	0	5	0	0	1	2	4
10	3	91	24	17	0	20	11	6	5	95	22	7	25	4	47	10	14	0	46	0	51	71	13	44	6	6	26	61	28	0	4	6	29	65	29	34	7	60	27	10	8	1	4	30	21	42	2	26	35	32	7	30	26	14	3	25	3	1	2	24	14	5	29	19	22	31	26	0	30	19	1	11	5	12	26	10	36	2	6	21	0	8	7	4	16	19	7	9	1	20	22	15	20	0	2	8	19	9	15	9	10	11	11	11	4	9	22	15	16	24	10	11	0	6	10	14	12	12	4	6	19	15	9	10	8	20	14	12	9	0	1	16	2	2	16	12	6	15	15	0	15	9	9	7	4	6	10	11	3	10	0	1	10	0	4	4	18	2	11	20	12	16	17	11	6	1	4	7	13	3	0	17	4	3	8	2	11	1	4	10	3	3	8	12	1	0	3	1	7	12	9	3	7	8	6	4	7	12	0	6	2	5	5	14	10	9	3	5	7	8	5	12	13	14	1	7	2	3	7	13	3	7	2	5	10	3	6	5	9	4	4	0	3	1	5	12	5	10	7	8	1	5	9	2	3	4	7	6	2	1	2	4	9	12	5	8	3	2	2	9	2	4	3	4	1	4	9	12	4	4	5	12	5	4	0	2	6	6	3	12	7	1	3	5	7	0	4	2	0	2	0	10	5	4	9	3	1	0	8	1	8	5	7	0	7	7	1	1	2	1	3	1	7	3	8	8	7	1	6	8	1	6	3	1	3	5	1	2	8	0	5	4	1	10	0	3	0	2	6	7	3	1	7	4	6	0	1	5	5	1	2	5	6	5	1	1	8	2	1	6	4	5	0	2	1	8	12	4	5	6	0	0	4	9	2	3	1	5	0	11	2	7	9	2	0	6	6	0	1	0	0	2	6	6	3	7	2	1	6	5	5	3	1	6	6	6	1	1	5	8	0	1	5	0	6	6	1	1	1	0	8	6	6	0	3	2	8	0	5	3	4	2	8	6	6	9	6	6	1	3	2	5	2	4	5	1	0	3	1	0	3	5	5	2	4	1	0	2	4	3	2	3	1	5	2	1	1	1	4	0	1	7	3	2	1	7	1	1	2	1	0	3	1	5	5	3	1	1	3	6	4	5	2	3	0	0	5	3	0
1243	312	269	63	101	3	20	227	10	135	47	110	31	46	1	47	1	61	121	0	0	28	31	64	53	26	3	34	20	42	0	7	35	43	16	46	21	6	21	20	0	26	1	26	12	4	8	5	3	6	2	29	2	3	0	0	5	0	1	1	3	8	1	24	21	5	8	3	0	22	18	0	30	10	8	3	1	12	8	11	3	0	12	0	5	2	2	8	7	1	0	2	4	1	0	27	4	5	3	1	8	2	3	1	0	10	7	10	8	2	5	9	22	0	3	8	1	1	3	1	6	9	0	10	15	16	2	1	6	4	1	6	9	0	14	13	3	9	2	6	1	2	2	8	0	0	0	4	4	0	9	0	2	2	0	15	8	2	8	6	2	17	2	1	2	1	3	0	1	9	10	8	0	4	2	7	0	0	13	4	2	3	3	1	1	0	0	12	0	8	3	2	3	4	0	0	16	17	3	5	0	0	4	6	3	14	3	6	0	1	1	5	0	14	7	0	4	1	8	4	2	3	8	1	8	3	3	0	4	1	0	2	0	1	2	2	1	4	5	2	3	18	2	8	7	0	1	3	1	6	0	5	6	4	3	2	1	0	3	1	4	1	3	0	9	15	0	0	3	2	7	6	3	6	12	0	8	11	7	3	1	2	5	6	7	0	0	0	2	0	0	6	4	0	7	10	1	2	6	13	6	5	7	1	0	0	1	2	11	8	0	2	0	4	1	4	9	1	1	0	2	5	1	4	1	5	2	13	0	4	12	0	5	1	1	0	1	0	6	6	4	5	4	1	1	7	6	8	4	0	3	6	2	3	3	1	3	2	8	6	2	1	1	0	2	0	2	3	0	4	1	1	0	3	1	8	3	2	1	0	2	3	6	5	1	0	6	2	1	0	2	0	1	5	5	2	3	3	9	0	11	6	1	1	1	1	2	1	5	0	6	3	2	3	0	5	8	1	1	0	0	0	2	2	0	3	4	1	5	9	7	4	5	1	1	5	5	1	7	0	6	0	2	1	1	1	0	0	3	0	0	3	1	1	7	3	0	5	2	1	3	3	5	1	3	2	3	3	1	4	1	7	0	3	3	5	7	5	1	1	1	5	3	2	0	0	0	6	1	2	0	0	3	0	3	1	0	0	4	5
119	3	252	24	1	0	8	17	1	19	64	81	2	31	3	30	1	31	9	3	0	32	33	25	61	1	1	20	30	20	0	5	32	20	75	48	30	46	20	14	7	12	1	31	25	24	28	5	19	10	29	11	19	31	5	0	17	0	2	0	25	15	0	35	19	21	11	14	0	15	21	0	14	10	14	30	19	1	0	12	17	1	19	1	1	15	14	12	19	1	16	16	12	18	0	5	11	8	19	11	5	9	6	14	11	6	6	12	6	16	18	11	21	46	4	12	22	12	6	2	10	9	10	2	16	11	8	11	11	3	0	0	14	0	3	9	14	7	7	13	0	9	3	6	5	1	17	9	11	0	11	0	8	4	6	7	0	14	3	14	8	12	7	11	10	4	2	1	5	10	2	14	13	4	2	8	0	4	9	6	9	0	6	8	12	4	0	10	0	9	9	2	6	14	5	4	12	8	14	11	8	2	3	11	8	8	11	3	5	6	7	7	8	10	18	0	14	4	3	2	6	1	14	4	7	12	3	9	9	4	3	2	0	2	17	8	6	12	7	1	11	6	0	6	10	3	4	6	4	2	0	3	3	8	13	5	6	2	4	0	4	3	2	11	5	2	2	5	6	9	15	3	11	2	2	4	9	3	3	4	6	7	1	7	1	4	0	1	8	2	1	2	6	0	3	7	10	8	1	8	2	7	3	4	2	1	6	2	8	4	0	1	4	5	1	9	7	2	0	7	7	1	9	5	2	2	7	15	1	5	3	10	5	3	9	0	5	2	6	7	3	10	7	6	4	7	2	7	2	1	3	7	1	5	4	5	0	4	10	0	7	3	7	0	7	0	4	4	1	3	2	0	2	1	3	4	8	2	5	2	5	3	5	7	6	0	3	9	2	2	0	0	0	1	2	1	4	3	3	13	6	5	4	1	2	3	4	0	6	1	6	0	2	2	0	3	1	2	2	0	0	10	5	4	0	5	3	6	1	5	3	6	1	4	3	4	7	5	5	0	5	4	6	2	1	0	2	1	1	1	8	3	4	7	6	8	6	2	5	3	7	2	3	5	4	1	3	1	3	8	2	1	5	0	1	1	3	4	2	5	2	4	1	5	2	5	5	7	2	2	6	5	3	0	4	0	0	3	6	7
159	41	77	184	129	2	50	36	23	22	55	73	63	47	24	31	37	46	8	0	0	31	24	58	41	22	29	57	29	11	0	41	9	13	46	36	22	65	19	25	8	8	34	23	26	24	16	36	13	12	16	9	14	19	3	0	30	0	15	5	13	8	12	23	18	25	8	12	10	19	20	13	19	9	19	8	9	8	1	31	9	0	19	0	19	9	19	24	26	7	9	2	10	7	0	10	8	26	7	6	11	10	13	13	7	11	10	12	10	4	5	13	16	2	7	11	5	9	6	2	4	5	19	5	22	17	15	13	13	3	10	2	7	12	4	22	10	12	11	6	14	5	5	6	7	0	9	14	4	7	14	3	2	5	5	5	6	15	6	15	5	14	5	11	7	5	0	1	0	14	8	7	5	8	4	21	6	7	7	11	3	3	6	5	2	0	3	10	0	12	3	8	14	11	6	4	11	14	1	10	5	5	6	8	3	9	7	5	0	5	10	16	3	10	8	14	5	9	5	1	10	2	11	0	10	6	6	2	6	5	4	6	8	6	14	7	2	4	3	6	2	10	9	6	8	0	1	3	9	9	0	7	12	8	10	8	2	2	8	4	9	5	1	0	8	2	2	5	3	5	4	2	3	10	6	4	8	4	2	4	6	4	4	10	5	3	1	4	3	2	1	3	6	0	1	3	9	8	7	5	4	6	6	10	1	2	1	8	3	5	3	4	3	4	1	3	6	3	2	5	5	3	4	4	8	3	7	5	0	0	1	5	7	5	7	3	8	4	6	5	1	4	0	2	2	0	2	2	3	6	9	7	6	3	1	3	1	2	5	0	2	2	6	3	2	1	3	2	3	2	6	0	6	4	0	7	6	4	6	1	5	8	9	2	5	0	2	0	10	2	3	1	2	10	2	0	3	2	2	6	1	2	4	0	2	2	5	1	3	3	4	3	2	1	0	5	3	5	1	0	4	4	1	5	1	2	2	3	2	4	2	5	8	4	15	6	1	1	4	2	0	3	6	2	4	3	0	2	6	1	4	5	4	5	1	6	5	1	5	2	0	5	3	2	1	2	1	0	8	2	3	2	3	6	1	2	4	7	5	0	1	1	6	3	2	2	5	1	1	5	0	0	2	4	4	1	0	2	6	1
